epoch,fitness
1,0.7721910986616868
2,0.7721910986616868
3,0.773464458247067
4,0.773464458247067
5,0.773464458247067
6,0.773464458247067
7,0.7833022097727981
8,0.7970779220779222
9,0.7970779220779222
10,0.7970779220779222
11,0.7970779220779222
12,0.7970779220779222
13,0.7970779220779222
14,0.7970779220779222
15,0.8089983687809775
16,0.8089983687809775
17,0.8089983687809775
18,0.8089983687809775
19,0.8089983687809775
20,0.8114849321371059
21,0.8114849321371059
22,0.8114849321371059
23,0.824268811608965
24,0.824268811608965
25,0.8357597716293369
26,0.8357597716293369
27,0.8357597716293369
28,0.8357597716293369
29,0.8357597716293369
30,0.8357597716293369
31,0.8470245937637243
32,0.8470245937637243
33,0.8470245937637243
34,0.8470245937637243
35,0.8470245937637243
36,0.8470245937637243
37,0.8470245937637243
38,0.8470245937637243
39,0.8470245937637243
40,0.8470245937637243
41,0.8470245937637243
42,0.8470245937637243
43,0.8470245937637243
44,0.8470245937637243
45,0.8470245937637243
46,0.8470245937637243
47,0.8470245937637243
48,0.8470245937637243
49,0.8470245937637243
50,0.8470245937637243
51,0.8470245937637243
52,0.8470245937637243
53,0.8597496706192359
54,0.8597496706192359
55,0.8597496706192359
56,0.8597496706192359
57,0.8597496706192359
58,0.8597496706192359
59,0.8597496706192359
60,0.8597496706192359
61,0.8597496706192359
62,0.8597496706192359
63,0.8597496706192359
64,0.8597496706192359
65,0.8597496706192359
66,0.8597496706192359
67,0.8597496706192359
68,0.8597496706192359
69,0.8597496706192359
70,0.8597496706192359
71,0.8597496706192359
72,0.8597496706192359
73,0.8597496706192359
74,0.8597496706192359
75,0.8597496706192359
76,0.8597496706192359
77,0.8597496706192359
78,0.8597496706192359
79,0.8597496706192359
80,0.8597496706192359
81,0.8597496706192359
82,0.8597496706192359
83,0.8597496706192359
84,0.8597496706192359
85,0.8597496706192359
86,0.8597496706192359
87,0.8597496706192359
88,0.8597496706192359
89,0.8597496706192359
90,0.8597496706192359
91,0.8597496706192359
92,0.8597496706192359
93,0.8597496706192359
94,0.8597496706192359
95,0.8597496706192359
96,0.8597496706192359
97,0.8597496706192359
98,0.8597496706192359
99,0.8597496706192359
100,0.8597496706192359
