indice,feature,seleccionada
356,soluciones tecnológicas,1
357,sostenible,1
358,superior,0
359,sólida,1
360,sólida formación,1
361,sólidos,0
362,tecnología,1
363,tecnologías,1
364,tecnologías información,1
365,tecnológica,0
366,tecnológicas,0
367,tecnológico,0
368,tecnológicos,1
369,telecomunicaciones,1
370,tic,1
371,toma,0
372,toma decisiones,0
373,trabajar,1
374,trabajo,1
375,transformación,0
376,transformación digital,1
377,través,0
378,técnicas,1
379,técnico,1
380,técnicos,1
381,título,0
382,universidad,1
383,universidad católica,1
384,universitario,1
385,uso,1
386,utilizando,0
387,valor,0
388,vanguardia,1
389,vida,1
390,vigente,0
391,visión,1
392,ámbito,0
393,ámbitos,1
394,área,0
395,áreas,1
396,énfasis,1
397,ética,1
398,ético,0
399,éticos,1
