,precision,recall,f1-score,support
Civil,0.5862068965517241,0.5483870967741935,0.5666666666666667,31.0
Ejecución,0.25,0.4,0.3076923076923077,5.0
Informática,0.5833333333333334,0.56,0.5714285714285714,25.0
accuracy,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771
macro avg,0.4731800766283525,0.5027956989247312,0.48192918192918194,61.0
weighted avg,0.557471264367816,0.5409836065573771,0.5473908605056146,61.0
