;precision;recall;f1-score;support
Civil;0.6111111111111112;0.6875;0.6470588235294118;32.0
Ejecución;1.0;0.4;0.5714285714285714;5.0
Informática;0.6;0.5769230769230769;0.5882352941176471;26.0
accuracy;0.6190476190476191;0.6190476190476191;0.6190476190476191;0.6190476190476191
macro avg;0.737037037037037;0.5548076923076922;0.6022408963585435;63.0
weighted avg;0.6373897707231041;0.6190476190476191;0.616780045351474;63.0
