Fold;N_Validacion;Accuracy;Balanced_Accuracy;F1_Macro;Precision_Macro;Recall_Macro
1;13;0.8461538461538461;0.8888888888888888;0.8857142857142858;0.9166666666666666;0.8888888888888888
2;13;0.6153846153846154;0.7238095238095238;0.7202797202797203;0.7222222222222222;0.7238095238095238
3;13;0.5384615384615384;0.3904761904761904;0.3722943722943723;0.35714285714285715;0.3904761904761904
4;12;0.5833333333333334;0.43333333333333335;0.404040404040404;0.3904761904761904;0.43333333333333335
5;12;0.5;0.3444444444444445;0.30357142857142855;0.3333333333333333;0.3444444444444445
