Modelo,n_features,F1_media,F1_std,IC95
Baseline (400 feat),400,0.6695182595182596,0.24738361985402746,0.21684130348132022
GWO (249 feat),249,0.8412161912161912,0.1949081394806735,0.17084451690474423
