fold,Enmascarado,Original,delta_enmascarado_menos_original
1,0.39999999999999997,0.47338935574229696,-0.07338935574229699
2,0.5253411306042884,0.5604288499025342,-0.03508771929824572
3,0.548076923076923,0.9027777777777778,-0.3547008547008548
4,0.2740740740740741,0.3055555555555555,-0.031481481481481444
