condicion,fold,n_train,n_test,n_features,smote_k,n_test_sin_terminos,f1_macro,accuracy,f1_civil,f1_ejecucion,f1_informatica
Original,1,46,17,400,2,0,0.47338935574229696,0.6470588235294118,0.7058823529411765,0.0,0.7142857142857143
Original,2,47,16,400,2,0,0.5604288499025342,0.625,0.7368421052631579,0.5,0.4444444444444444
Original,3,48,15,400,2,0,0.9027777777777778,0.8666666666666667,0.875,1.0,0.8333333333333334
Original,4,48,15,400,2,0,0.3055555555555555,0.5333333333333333,0.6666666666666666,0.0,0.25
Enmascarado,1,46,17,400,2,0,0.39999999999999997,0.5294117647058824,0.5333333333333333,0.0,0.6666666666666666
Enmascarado,2,47,16,400,2,0,0.5253411306042884,0.5625,0.631578947368421,0.5,0.4444444444444444
Enmascarado,3,48,15,400,2,0,0.548076923076923,0.8,0.875,0.0,0.7692307692307693
Enmascarado,4,48,15,400,2,0,0.2740740740740741,0.4666666666666667,0.6,0.0,0.2222222222222222
