fold_externo,modelo,fold_interno,f1_macro,smote_k
2,Ridge_balanced_alpha=0.5,1,0.3545454545454545,
2,Ridge_balanced_alpha=0.5,2,0.3891402714932127,
2,Ridge_balanced_alpha=0.5,3,0.4456140350877193,
2,Ridge_balanced_alpha=1.0,1,0.3545454545454545,
2,Ridge_balanced_alpha=1.0,2,0.4796380090497738,
2,Ridge_balanced_alpha=1.0,3,0.4456140350877193,
2,Ridge_balanced_alpha=2.0,1,0.3545454545454545,
2,Ridge_balanced_alpha=2.0,2,0.4796380090497738,
2,Ridge_balanced_alpha=2.0,3,0.4456140350877193,
3,ComplementNB_SMOTE_alpha=0.1,1,0.6356837606837606,2.0
3,ComplementNB_SMOTE_alpha=0.1,2,0.5166666666666667,2.0
3,ComplementNB_SMOTE_alpha=0.1,3,0.2222222222222222,1.0
3,ComplementNB_SMOTE_alpha=0.5,1,0.4212121212121212,2.0
3,ComplementNB_SMOTE_alpha=0.5,2,0.5583333333333333,2.0
3,ComplementNB_SMOTE_alpha=0.5,3,0.2222222222222222,1.0
3,ComplementNB_SMOTE_alpha=1.0,1,0.4212121212121212,2.0
3,ComplementNB_SMOTE_alpha=1.0,2,0.5583333333333333,2.0
3,ComplementNB_SMOTE_alpha=1.0,3,0.2222222222222222,1.0
3,ComplementNB_sinSMOTE_alpha=0.1,1,0.5849673202614379,
3,ComplementNB_sinSMOTE_alpha=0.1,2,0.8642533936651584,
3,ComplementNB_sinSMOTE_alpha=0.1,3,0.2222222222222222,
3,ComplementNB_sinSMOTE_alpha=0.5,1,0.5849673202614379,
3,ComplementNB_sinSMOTE_alpha=0.5,2,0.5126050420168067,
3,ComplementNB_sinSMOTE_alpha=0.5,3,0.2318840579710145,
3,ComplementNB_sinSMOTE_alpha=1.0,1,0.5286195286195287,
3,ComplementNB_sinSMOTE_alpha=1.0,2,0.5126050420168067,
3,ComplementNB_sinSMOTE_alpha=1.0,3,0.2318840579710145,
3,LogisticRegression_balanced_C=0.5,1,0.3499245852187029,
3,LogisticRegression_balanced_C=0.5,2,0.5126050420168067,
3,LogisticRegression_balanced_C=0.5,3,0.24242424242424243,
3,LogisticRegression_balanced_C=1.0,1,0.3499245852187029,
3,LogisticRegression_balanced_C=1.0,2,0.5126050420168067,
3,LogisticRegression_balanced_C=1.0,3,0.24242424242424243,
3,LogisticRegression_balanced_C=5.0,1,0.33903133903133903,
3,LogisticRegression_balanced_C=5.0,2,0.5126050420168067,
3,LogisticRegression_balanced_C=5.0,3,0.24242424242424243,
3,LinearSVC_balanced_C=0.1,1,0.2966507177033493,
3,LinearSVC_balanced_C=0.1,2,0.4678362573099415,
3,LinearSVC_balanced_C=0.1,3,0.2222222222222222,
3,LinearSVC_balanced_C=0.5,1,0.35185185185185186,
3,LinearSVC_balanced_C=0.5,2,0.5126050420168067,
3,LinearSVC_balanced_C=0.5,3,0.2318840579710145,
3,LinearSVC_balanced_C=1.0,1,0.35185185185185186,
3,LinearSVC_balanced_C=1.0,2,0.5156695156695157,
3,LinearSVC_balanced_C=1.0,3,0.24242424242424243,
3,Ridge_balanced_alpha=0.5,1,0.5849673202614379,
3,Ridge_balanced_alpha=0.5,2,0.5126050420168067,
3,Ridge_balanced_alpha=0.5,3,0.24242424242424243,
3,Ridge_balanced_alpha=1.0,1,0.5849673202614379,
3,Ridge_balanced_alpha=1.0,2,0.5126050420168067,
3,Ridge_balanced_alpha=1.0,3,0.24242424242424243,
3,Ridge_balanced_alpha=2.0,1,0.35185185185185186,
3,Ridge_balanced_alpha=2.0,2,0.5126050420168067,
3,Ridge_balanced_alpha=2.0,3,0.24242424242424243,
4,ComplementNB_SMOTE_alpha=0.1,1,0.6797385620915032,2.0
4,ComplementNB_SMOTE_alpha=0.1,2,0.46438746438746437,2.0
4,ComplementNB_SMOTE_alpha=0.1,3,0.4012066365007542,1.0
4,ComplementNB_SMOTE_alpha=0.5,1,0.6262626262626262,2.0
4,ComplementNB_SMOTE_alpha=0.5,2,0.46438746438746437,2.0
4,ComplementNB_SMOTE_alpha=0.5,3,0.37789661319073087,1.0
4,ComplementNB_SMOTE_alpha=1.0,1,0.6262626262626262,2.0
4,ComplementNB_SMOTE_alpha=1.0,2,0.5029239766081871,2.0
4,ComplementNB_SMOTE_alpha=1.0,3,0.39015151515151514,1.0
4,ComplementNB_sinSMOTE_alpha=0.1,1,0.6797385620915032,
4,ComplementNB_sinSMOTE_alpha=0.1,2,0.46438746438746437,
4,ComplementNB_sinSMOTE_alpha=0.1,3,0.4012066365007542,
4,ComplementNB_sinSMOTE_alpha=0.5,1,0.3923444976076555,
4,ComplementNB_sinSMOTE_alpha=0.5,2,0.5029239766081871,
4,ComplementNB_sinSMOTE_alpha=0.5,3,0.36274509803921573,
4,ComplementNB_sinSMOTE_alpha=1.0,1,0.3923444976076555,
4,ComplementNB_sinSMOTE_alpha=1.0,2,0.5029239766081871,
4,ComplementNB_sinSMOTE_alpha=1.0,3,0.36274509803921573,
4,LogisticRegression_balanced_C=0.5,1,0.3923444976076555,
4,LogisticRegression_balanced_C=0.5,2,0.5029239766081871,
4,LogisticRegression_balanced_C=0.5,3,0.44642857142857145,
4,LogisticRegression_balanced_C=1.0,1,0.3923444976076555,
4,LogisticRegression_balanced_C=1.0,2,0.5029239766081871,
4,LogisticRegression_balanced_C=1.0,3,0.44642857142857145,
4,LogisticRegression_balanced_C=5.0,1,0.49170437405731526,
4,LogisticRegression_balanced_C=5.0,2,0.5029239766081871,
4,LogisticRegression_balanced_C=5.0,3,0.39999999999999997,
4,LinearSVC_balanced_C=0.1,1,0.3923444976076555,
4,LinearSVC_balanced_C=0.1,2,0.4484848484848485,
4,LinearSVC_balanced_C=0.1,3,0.4012066365007542,
4,LinearSVC_balanced_C=0.5,1,0.4444444444444444,
4,LinearSVC_balanced_C=0.5,2,0.5029239766081871,
4,LinearSVC_balanced_C=0.5,3,0.44642857142857145,
4,LinearSVC_balanced_C=1.0,1,0.49170437405731526,
4,LinearSVC_balanced_C=1.0,2,0.5029239766081871,
4,LinearSVC_balanced_C=1.0,3,0.39999999999999997,
4,Ridge_balanced_alpha=0.5,1,0.49170437405731526,
4,Ridge_balanced_alpha=0.5,2,0.5029239766081871,
4,Ridge_balanced_alpha=0.5,3,0.39999999999999997,
4,Ridge_balanced_alpha=1.0,1,0.4444444444444444,
4,Ridge_balanced_alpha=1.0,2,0.5029239766081871,
4,Ridge_balanced_alpha=1.0,3,0.39999999999999997,
4,Ridge_balanced_alpha=2.0,1,0.4444444444444444,
4,Ridge_balanced_alpha=2.0,2,0.5029239766081871,
4,Ridge_balanced_alpha=2.0,3,0.39999999999999997,
