fold_externo,modelo,F1_inner_media,F1_inner_std,n_folds_internos,ranking
1,ComplementNB_SMOTE_alpha=0.5,0.5125425257004204,0.08439129160804205,3,1
1,ComplementNB_SMOTE_alpha=0.1,0.5053521851767465,0.19208414573110488,3,2
1,ComplementNB_SMOTE_alpha=1.0,0.4672803804382752,0.07327973270199233,3,3
1,LogisticRegression_balanced_C=5.0,0.42514158241712413,0.02079394555212483,3,4
1,Ridge_balanced_alpha=0.5,0.42514158241712413,0.02079394555212483,3,5
1,Ridge_balanced_alpha=1.0,0.42514158241712413,0.02079394555212483,3,6
1,LinearSVC_balanced_C=0.5,0.4191033138401559,0.06610343107733568,3,7
1,ComplementNB_sinSMOTE_alpha=0.5,0.4119218500797448,0.03052437360855723,3,8
1,LogisticRegression_balanced_C=0.5,0.4119218500797448,0.03052437360855723,3,9
1,LogisticRegression_balanced_C=1.0,0.4119218500797448,0.03052437360855723,3,10
1,Ridge_balanced_alpha=2.0,0.4119218500797448,0.03052437360855723,3,11
1,LinearSVC_balanced_C=1.0,0.40560803718698457,0.05424976878557745,3,12
1,ComplementNB_sinSMOTE_alpha=1.0,0.40376406454837827,0.02214570644531983,3,13
1,ComplementNB_sinSMOTE_alpha=0.1,0.3883528265107212,0.05188973886618643,3,14
1,LinearSVC_balanced_C=0.1,0.3592031425364759,0.046681997051126176,3,15
2,LogisticRegression_balanced_C=0.5,0.4265991662276492,0.06467774521756514,3,1
2,LogisticRegression_balanced_C=1.0,0.4265991662276492,0.06467774521756514,3,2
2,Ridge_balanced_alpha=1.0,0.4265991662276492,0.06467774521756514,3,3
2,Ridge_balanced_alpha=2.0,0.4265991662276492,0.06467774521756514,3,4
2,LinearSVC_balanced_C=0.1,0.4264870931537599,0.05424673297173266,3,5
2,ComplementNB_sinSMOTE_alpha=0.5,0.4231200897867564,0.06721565386966842,3,6
2,ComplementNB_sinSMOTE_alpha=1.0,0.4231200897867564,0.06721565386966842,3,7
2,LogisticRegression_balanced_C=5.0,0.4086951385196999,0.047917080633889414,3,8
2,LinearSVC_balanced_C=0.5,0.4034201665780613,0.07427234195162467,3,9
2,ComplementNB_SMOTE_alpha=0.1,0.3995139936316407,0.03000882230100558,3,10
2,LinearSVC_balanced_C=1.0,0.3964332537087955,0.045970232571669115,3,11
2,Ridge_balanced_alpha=0.5,0.3964332537087955,0.045970232571669115,3,12
2,ComplementNB_sinSMOTE_alpha=0.1,0.3959595959595959,0.03954903424333719,3,13
2,ComplementNB_SMOTE_alpha=0.5,0.3780946722123193,0.048010916267018554,3,14
2,ComplementNB_SMOTE_alpha=1.0,0.3712682379349046,0.0556221754762707,3,15
3,ComplementNB_sinSMOTE_alpha=0.1,0.5571476453829396,0.3219184011653516,3,1
3,ComplementNB_SMOTE_alpha=0.1,0.4581908831908832,0.21284307338171846,3,2
3,Ridge_balanced_alpha=0.5,0.44666553490082905,0.18054072668671825,3,3
3,Ridge_balanced_alpha=1.0,0.44666553490082905,0.18054072668671825,3,4
3,ComplementNB_sinSMOTE_alpha=0.5,0.4431521400830864,0.1865066398755637,3,5
3,ComplementNB_sinSMOTE_alpha=1.0,0.42436954286911654,0.16688952144346964,3,6
3,ComplementNB_SMOTE_alpha=0.5,0.4005892255892256,0.16900191602757367,3,7
3,ComplementNB_SMOTE_alpha=1.0,0.4005892255892256,0.16900191602757367,3,8
3,LinearSVC_balanced_C=1.0,0.36998186998187,0.13752188191617762,3,9
3,Ridge_balanced_alpha=2.0,0.3689603787643003,0.1359004870740161,3,10
3,LogisticRegression_balanced_C=0.5,0.36831795655325067,0.13602629598319313,3,11
3,LogisticRegression_balanced_C=1.0,0.36831795655325067,0.13602629598319313,3,12
3,LinearSVC_balanced_C=0.5,0.36544698394655767,0.14085342890186897,3,13
3,LogisticRegression_balanced_C=5.0,0.36468687449079606,0.13690533587812762,3,14
3,LinearSVC_balanced_C=0.1,0.328903065745171,0.12594333655924775,3,15
4,ComplementNB_SMOTE_alpha=0.1,0.5151108876599072,0.14602964645810515,3,1
4,ComplementNB_sinSMOTE_alpha=0.1,0.5151108876599072,0.14602964645810515,3,2
4,ComplementNB_SMOTE_alpha=1.0,0.5064460393407761,0.11809495286399871,3,3
4,ComplementNB_SMOTE_alpha=0.5,0.4895155679469405,0.12607531599674474,3,4
4,LinearSVC_balanced_C=1.0,0.4648761168885008,0.05646372974970479,3,5
4,LogisticRegression_balanced_C=5.0,0.4648761168885008,0.05646372974970479,3,6
4,Ridge_balanced_alpha=0.5,0.4648761168885008,0.05646372974970479,3,7
4,LinearSVC_balanced_C=0.5,0.46459899749373434,0.033205228625394476,3,8
4,Ridge_balanced_alpha=1.0,0.44912280701754387,0.051621231557225526,3,9
4,Ridge_balanced_alpha=2.0,0.44912280701754387,0.051621231557225526,3,10
4,LogisticRegression_balanced_C=0.5,0.447232348548138,0.05529412118164739,3,11
4,LogisticRegression_balanced_C=1.0,0.447232348548138,0.05529412118164739,3,12
4,ComplementNB_sinSMOTE_alpha=0.5,0.4193378574183528,0.07388511761252012,3,13
4,ComplementNB_sinSMOTE_alpha=1.0,0.4193378574183528,0.07388511761252012,3,14
4,LinearSVC_balanced_C=0.1,0.41401199419775275,0.030181412135031806,3,15
