grado,PCA_1,PCA_2,LDA_1,LDA_2
Informática,0.31226977971436015,0.1742406228167463,3.080677722368229,0.08871794937309468
Informática,0.42825399228992794,0.08378706524219309,3.0597784514164563,0.21310333515638702
Informática,0.4531652803515055,0.1177869095928004,2.836309221738011,-1.2474179380275374
Informática,0.3093905065622443,0.02852269701138382,2.9512305077411636,1.269359186682768
Informática,0.07877436564957946,-0.04917559249096754,2.835459447011543,-0.8217373740422141
Informática,0.20700306552447445,-0.08204852148737932,2.912568360151644,1.5339729062135736
Informática,0.26768806650427956,0.040310397009452006,3.1462882297407053,0.4145638508891381
Informática,0.309401239713704,0.001403734463839833,3.265106015792313,1.1424913259392422
Informática,-0.17617402448224584,0.21569107411249805,2.1213481318169816,-0.6946122714410996
Informática,0.5637681692199037,-0.06863611076169453,2.669461886695872,1.5676450125117083
Civil,0.017227641622349958,-0.026626652148891736,-2.167980165064982,0.37486922677763485
Civil,0.12806300430420198,-0.18344663157203978,-1.8026945125370495,0.6227793490007753
Informática,0.14684354524774187,-0.21989168387448008,2.498271628478501,-0.11842344908505413
Civil,-0.040796418347637475,-0.11529040436287162,-1.9234573092708973,1.4842101680662556
Informática,0.2766933963653993,0.0014459125250073433,2.611939994358928,0.14618133997757354
Civil,-0.17327711640733223,-0.10931080283817923,-2.2381351818230892,1.0915758492625842
Civil,-0.14770473102066484,0.3442550347420433,-1.9682025204636842,0.9901051724996993
Ejecución,-0.051107228719283096,0.7065217088600928,-1.4541588020085863,-3.4882857490811805
Ejecución,-0.012605774231672322,-0.17720815578919638,-1.255970617106198,0.2651415330471486
Civil,-0.2871448063186802,-0.1729785898108568,3.2100878711577017,0.4622854158384266
Informática,-0.23741989949870174,-0.17058989920101594,-2.534863303551974,0.26524305839362655
Informática,0.07856752342673222,0.14318753632963244,2.927619706564858,0.5097712723003484
Civil,-0.06528652180076976,-0.0342476738076152,-2.1700383115915316,0.29551809560686515
Informática,0.36322169217115796,-0.04921826301859569,2.8259375447554422,0.5738394027815314
Civil,-0.16872341681906644,0.07896399001941375,-2.080913930757416,1.063313723169479
Civil,0.0641853158193379,-0.026157929503148086,-1.9624337312556552,0.9494224303851587
Civil,-0.03031655349376874,0.0003977821019694392,-1.6618031430445668,0.1879349488049008
Informática,-0.008632158939183461,-0.1390546390368409,2.704494871423062,-0.2484559193818093
Civil,-0.15188645649735036,-0.04532214343434382,-2.082202457406151,0.47024740236693385
Informática,-0.009285455697441285,-0.2493622943893244,2.74802024128872,-0.2610445877799037
Civil,-0.01645496563150789,0.05661939071405262,-1.7327437066858364,-0.21733947592052583
Informática,0.02564808993862121,-0.06590005061082042,2.601828330933631,0.32176657115365603
Informática,0.01763762231311887,0.11333709452511893,2.722214525022064,-0.2681621505366855
Civil,-0.13024486987630376,-0.03418227280245125,-2.2257266825341078,1.0206057623519673
Civil,-0.0872949484872389,-0.06774968020319427,-2.1355789252417696,0.9012412841773675
Civil,0.016634079832155656,-0.15804327671221377,-1.8515263312284986,0.1575893328874383
Informática,-0.08421434171201382,0.08684578848747945,2.9608475721631553,0.13963862129830035
Civil,0.08382343617743242,-0.19855886428899516,-1.4839239280914416,0.0487492647972014
Civil,0.006792548846126268,-0.2017069776209725,-1.9977956825578116,-0.5459251633017017
Civil,-0.16806145888383348,0.06874895502740666,-1.9622874211850498,-0.8009319229556042
Informática,-0.22437877191631916,0.11734758005413151,2.483826431552131,-0.24049659438000504
Civil,-0.2297364359702511,-0.13262939214207922,-2.6472157280687725,0.5230944514764557
Civil,-0.008280720082973312,-0.21559690953749927,-1.9455102170210838,0.5035080465901642
Ejecución,-0.25693014109455825,0.07089001806747858,-0.8220521648143042,-2.567380985114985
Civil,0.2587630435999538,-0.12330776380371337,-1.7603122757507677,-1.863641521106468
Civil,-0.15619359612318262,-0.257860038969327,-2.1687916432462093,1.0786748417199832
Informática,0.057746455261277446,-0.03657770140734475,2.6151086429927513,0.0822434531259928
Informática,-0.28663755918655837,-0.044204892367467205,1.5576767935013949,-0.14603147822848048
Civil,-0.31581315442739155,-0.07247316890221689,-0.42214925865447717,-0.5019701525859303
Civil,-0.06937423029322894,-0.049094727998383006,-2.091034972248449,0.8358031845727645
Informática,-0.12952456743343493,0.048609781056818034,2.5754816987192406,0.051401334452616125
Ejecución,-0.039042222271610104,0.6952098649030949,-0.9143566068345266,-5.0356418430321215
Civil,0.027418702489701633,0.45843690456069885,-1.979314251286079,-0.6456465234813007
Civil,-0.04854119794910482,0.010753289559912532,-1.774806704262859,2.2505682063201577
Informática,0.007951892554719436,0.12490117848737092,2.614338351022706,-2.508645404422907
Civil,0.08583543465484947,-0.18342637452064703,-1.8556181190267278,-0.4233220490059514
Civil,-0.2027109566825753,-0.05468207309544017,-2.5385942706139497,-0.023927467168998733
Ejecución,-0.1971058780107021,-0.01070979089073573,-1.294479746091412,-0.2714054228023961
Civil,-0.18629081155457936,0.07627686840874687,-2.6018725393076547,-1.8800092356373592
Civil,-0.11681336012131746,-0.012858036873992212,-2.59012100036288,0.1977025239884515
Civil,-0.07876314017237297,-0.026363198404447875,-2.4372560174107463,0.725575844562842
