fold_externo,epoch,fitness_interno
1,1,0.5708637041970376
1,2,0.5708637041970376
1,3,0.5708637041970376
1,4,0.5708637041970376
1,5,0.5708637041970376
1,6,0.5708637041970376
1,7,0.5708637041970376
1,8,0.6079007412340746
1,9,0.6079007412340746
1,10,0.6079007412340746
1,11,0.6079007412340746
1,12,0.6152896486229819
1,13,0.6387219018797966
1,14,0.6471786746296551
1,15,0.6471984805318138
1,16,0.6847442680776016
1,17,0.6847442680776016
1,18,0.6847442680776016
1,19,0.6847442680776016
1,20,0.6847442680776016
1,21,0.6847442680776016
1,22,0.6847442680776016
1,23,0.7014996622839761
1,24,0.7014996622839761
1,25,0.7014996622839761
1,26,0.7014996622839761
1,27,0.7014996622839761
1,28,0.7014996622839761
1,29,0.7014996622839761
1,30,0.7076130840836723
1,31,0.7076130840836723
1,32,0.7076130840836723
1,33,0.722378783163097
1,34,0.722378783163097
1,35,0.722378783163097
1,36,0.722683489350156
1,37,0.722683489350156
1,38,0.722683489350156
1,39,0.7395666062332729
1,40,0.7395666062332729
1,41,0.7559483726150393
1,42,0.7559483726150393
1,43,0.7559483726150393
1,44,0.7559483726150393
1,45,0.7559483726150393
1,46,0.7559483726150393
1,47,0.7559483726150393
1,48,0.7559483726150393
1,49,0.7559483726150393
1,50,0.7559483726150393
1,51,0.7559483726150393
1,52,0.7559483726150393
1,53,0.7559483726150393
1,54,0.7559483726150393
1,55,0.7559483726150393
1,56,0.7559483726150393
1,57,0.7559483726150393
1,58,0.7559483726150393
1,59,0.7559483726150393
1,60,0.7559483726150393
1,61,0.7559483726150393
1,62,0.7559483726150393
1,63,0.7559483726150393
1,64,0.7559483726150393
1,65,0.7559483726150393
1,66,0.7559483726150393
1,67,0.7559483726150393
1,68,0.7559483726150393
1,69,0.7559483726150393
1,70,0.7559483726150393
1,71,0.7559483726150393
1,72,0.7559483726150393
1,73,0.7559483726150393
1,74,0.7559483726150393
1,75,0.7559483726150393
1,76,0.7559483726150393
1,77,0.7559483726150393
1,78,0.7559483726150393
1,79,0.7559483726150393
1,80,0.7559483726150393
1,81,0.7559483726150393
1,82,0.7559483726150393
1,83,0.7559483726150393
1,84,0.7559483726150393
1,85,0.7559483726150393
1,86,0.7559483726150393
1,87,0.7559483726150393
1,88,0.7559483726150393
1,89,0.7559483726150393
1,90,0.7559483726150393
1,91,0.7559483726150393
1,92,0.7559483726150393
1,93,0.7559483726150393
1,94,0.7559483726150393
1,95,0.7559483726150393
1,96,0.7559483726150393
1,97,0.7559483726150393
1,98,0.7559483726150393
1,99,0.7559483726150393
1,100,0.7559483726150393
2,1,0.503388099879328
2,2,0.503388099879328
2,3,0.503388099879328
2,4,0.503388099879328
2,5,0.503388099879328
2,6,0.503388099879328
2,7,0.5164962316665104
2,8,0.5786596119929452
2,9,0.5786596119929452
2,10,0.5786596119929452
2,11,0.6373539314715785
2,12,0.6373539314715785
2,13,0.6454191033138401
