Fold,Modelo_seleccionado,F1_inner_seleccion,N_features,N_test,F1_macro,Accuracy,F1_Civil,F1_Ejecucion,F1_Informatica
1,LinearSVC_balanced_C=0.5,0.4830301764512291,400,13,0.7777777777777777,0.6923076923076923,0.6666666666666666,1.0,0.6666666666666666
2,ComplementNB_sinSMOTE_alpha=0.1,0.488393834885063,400,12,0.9373219373219372,0.9166666666666666,0.9230769230769231,1.0,0.8888888888888888
3,ComplementNB_sinSMOTE_alpha=0.5,0.5837223778400249,400,12,0.4051282051282052,0.5833333333333334,0.6153846153846154,0.0,0.6
4,Ridge_balanced_alpha=0.5,0.7089791300317616,400,12,0.38888888888888884,0.5833333333333334,0.6666666666666666,0.0,0.5
5,ComplementNB_SMOTE_alpha=0.5,0.6236592927769398,400,12,0.2738095238095238,0.4166666666666667,0.5714285714285714,0.0,0.25
