Outer_Fold,Modelo,F1_inner_media,F1_inner_std,Scores_inner
4,Ridge_balanced_alpha=2.0,0.6943292574871521,0.1062118852642879,0.544444|0.777778|0.760766
4,ComplementNB_sinSMOTE_alpha=0.5,0.6929885502640921,0.10517033562414617,0.544444|0.773756|0.760766
4,ComplementNB_sinSMOTE_alpha=1.0,0.6929885502640921,0.10517033562414617,0.544444|0.773756|0.760766
4,ComplementNB_sinSMOTE_alpha=0.1,0.691926649202191,0.13470800642571906,0.502024|0.773756|0.800000
4,LinearSVC_balanced_C=0.1,0.6857193488772436,0.13482909754164943,0.496392|0.760766|0.800000
4,ComplementNB_SMOTE_alpha=0.1,0.6796871095116709,0.13119045882273603,0.502024|0.722222|0.814815
4,LinearSVC_balanced_C=0.5,0.6791176172755119,0.09594256007393973,0.544444|0.732143|0.760766
4,ComplementNB_SMOTE_alpha=0.5,0.6346616919372337,0.0953789821046848,0.502024|0.722222|0.679739
4,ComplementNB_SMOTE_alpha=1.0,0.634014191289733,0.11106919374445448,0.502024|0.773756|0.626263
5,ComplementNB_SMOTE_alpha=0.5,0.6236592927769398,0.13600829180234109,0.652778|0.773756|0.444444
5,ComplementNB_SMOTE_alpha=0.1,0.6231355790179319,0.1602329735499815,0.694444|0.773756|0.401207
5,ComplementNB_sinSMOTE_alpha=0.1,0.6068376068376068,0.15460052117404086,0.561254|0.814815|0.444444
5,ComplementNB_sinSMOTE_alpha=0.5,0.6068376068376068,0.15460052117404086,0.561254|0.814815|0.444444
5,ComplementNB_sinSMOTE_alpha=1.0,0.6015417331206805,0.12914630485156922,0.599415|0.760766|0.444444
5,LogisticRegression_balanced_C=1.0,0.6015417331206805,0.12914630485156922,0.599415|0.760766|0.444444
5,Ridge_balanced_alpha=1.0,0.6015417331206805,0.12914630485156922,0.599415|0.760766|0.444444
5,LogisticRegression_balanced_C=5.0,0.5890838206627681,0.09506157294694913,0.599415|0.700000|0.467836
5,LogisticRegression_balanced_C=0.5,0.5888211853124133,0.13060051279888435,0.561254|0.760766|0.444444
5,Ridge_balanced_alpha=2.0,0.5888211853124133,0.13060051279888435,0.561254|0.760766|0.444444
5,LinearSVC_balanced_C=0.1,0.5883893234770428,0.14429115394985143,0.637374|0.735450|0.392344
5,LinearSVC_balanced_C=0.5,0.5812865497076024,0.10511468845064369,0.599415|0.700000|0.444444
5,LinearSVC_balanced_C=1.0,0.5812865497076024,0.10511468845064369,0.599415|0.700000|0.444444
5,Ridge_balanced_alpha=0.5,0.5812865497076024,0.10511468845064369,0.599415|0.700000|0.444444
5,ComplementNB_SMOTE_alpha=1.0,0.5529325431286216,0.1273816623036475,0.516591|0.723906|0.418301
