Fold,feature,idf
1,000,3.751535313041949
1,10,2.904237452654745
1,2026,3.463853240590168
1,25,3.751535313041949
1,académico,3.2407096892759584
1,acciones,3.2407096892759584
1,acreditación,3.751535313041949
1,actitud,3.0583881324820035
1,actualización,3.0583881324820035
1,adaptarse,2.904237452654745
1,además,2.0169342576538423
1,administrar,3.0583881324820035
1,admisión,3.463853240590168
1,alto,3.0583881324820035
1,ambiental,2.904237452654745
1,ambiente,3.0583881324820035
1,amplio,3.2407096892759584
1,analizar,2.547562508716013
1,analítica,3.2407096892759584
1,anual,3.751535313041949
1,análisis,2.6529230243738393
1,análisis datos,3.0583881324820035
1,aplica,3.2407096892759584
1,aplicaciones,2.904237452654745
1,aplicación,2.6529230243738393
1,aplicada,2.7707060600302227
1,aplicando,2.7707060600302227
1,aplicar,2.3652409519220585
1,aprendizaje,2.2110902720948
1,arancel,3.751535313041949
1,arancel anual,3.751535313041949
1,aranceles,3.751535313041949
1,artificial,2.285198244248522
1,as,3.463853240590168
1,asimismo,3.0583881324820035
1,asociados,3.0583881324820035
1,así,2.3652409519220585
1,autoaprendizaje,3.2407096892759584
1,año,3.0583881324820035
1,años,3.751535313041949
1,basadas,3.463853240590168
1,base,2.547562508716013
1,bases,2.904237452654745
1,bases datos,3.0583881324820035
1,bien,2.904237452654745
1,bien común,3.0583881324820035
1,buenas,3.463853240590168
1,buenas prácticas,3.463853240590168
1,básicas,2.0775588794702773
1,básicas ciencias,2.7707060600302227
1,básicas ingeniería,3.0583881324820035
1,calidad,2.0169342576538423
1,calidad seguridad,3.463853240590168
1,campo,2.904237452654745
1,campus,3.463853240590168
1,capaces,2.547562508716013
1,capacidad,1.714653385780909
1,capacidad trabajar,3.0583881324820035
1,capacidades,2.904237452654745
1,capacitado,2.7707060600302227
1,capaz,2.0169342576538423
1,capaz concebir,3.463853240590168
1,carrera,1.672093771362113
1,carrera universidad,2.7707060600302227
1,carreras,3.463853240590168
1,católica,2.904237452654745
1,ciberseguridad,3.2407096892759584
1,ciencia,2.6529230243738393
1,ciencia datos,3.0583881324820035
1,ciencias,1.672093771362113
1,ciencias básicas,2.0775588794702773
1,ciencias ingeniería,2.4522523289116878
1,civil,2.6529230243738393
1,civil computación,3.0583881324820035
1,competencias,1.9057086225436182
1,competencias genéricas,3.0583881324820035
1,complejos,2.4522523289116878
1,compromiso,2.285198244248522
1,compromiso ético,3.2407096892759584
1,computacionales,2.547562508716013
1,computación,2.0169342576538423
1,computación informática,2.3652409519220585
1,comunicaciones,2.547562508716013
1,comunicación,1.8056251639866356
1,comunicación efectiva,2.6529230243738393
1,comunicarse,2.904237452654745
1,común,2.7707060600302227
1,concebir,3.0583881324820035
1,concebir diseñar,3.2407096892759584
1,conocimiento,2.7707060600302227
1,conocimientos,1.6312717768418579
1,considerando,2.4522523289116878
1,constante,2.904237452654745
1,construir,3.0583881324820035
1,consultor,3.0583881324820035
1,contexto,2.285198244248522
1,contexto global,3.463853240590168
1,contextos,2.3652409519220585
1,continua,3.0583881324820035
1,continuo,3.0583881324820035
1,contribuir,3.0583881324820035
1,contribuyendo,3.0583881324820035
1,creación,3.2407096892759584
1,crear,3.0583881324820035
1,criterios,2.904237452654745
1,crítico,2.7707060600302227
1,cuenta,2.7707060600302227
1,curricular,3.463853240590168
1,datos,1.672093771362113
1,decisiones,2.285198244248522
1,desafíos,2.6529230243738393
1,desarrolla,2.904237452654745
1,desarrollar,1.959775843813894
1,desarrollar soluciones,3.0583881324820035
1,desarrollo,1.5543107357057295
1,desarrollo sostenible,3.0583881324820035
1,desempeñarse,2.3652409519220585
1,desempeño,2.6529230243738393
1,diferentes,3.2407096892759584
1,digital,2.904237452654745
1,digitales,2.7707060600302227
1,dirección,3.463853240590168
1,disciplina,2.6529230243738393
1,disciplinar,3.2407096892759584
1,diseñar,1.9057086225436182
1,diseñar desarrollar,3.0583881324820035
1,diseñar implementar,2.4522523289116878
1,diseño,2.3652409519220585
1,distintas,2.904237452654745
1,distintos,2.904237452654745
1,diversa,3.2407096892759584
1,diversas,2.904237452654745
1,diversidad,2.904237452654745
1,diversos,2.7707060600302227
1,docente,3.463853240590168
1,duración,3.0583881324820035
1,económico,3.0583881324820035
1,educación,3.2407096892759584
1,educación superior,3.751535313041949
1,efectiva,2.3652409519220585
1,eficiencia,2.547562508716013
1,eficiente,3.0583881324820035
1,eficientes,3.0583881324820035
1,egresado,2.547562508716013
1,egreso,2.285198244248522
1,ejercicio,2.904237452654745
1,ello,3.0583881324820035
1,emergentes,3.0583881324820035
1,emprender,3.0583881324820035
1,emprendimiento,2.6529230243738393
1,empresarial,3.463853240590168
1,empresariales,3.751535313041949
1,empresas,2.4522523289116878
1,enfoque,2.7707060600302227
1,entorno,2.547562508716013
1,equipo,2.6529230243738393
1,equipos,1.672093771362113
1,equipos multidisciplinarios,2.547562508716013
1,equipos trabajo,2.3652409519220585
1,especialidad,2.904237452654745
1,estrategias,3.0583881324820035
1,estudiantes,3.463853240590168
1,estudios,2.904237452654745
1,está,3.2407096892759584
1,estándares,2.6529230243738393
1,estándares calidad,3.463853240590168
1,evaluación,3.0583881324820035
1,evaluar,2.6529230243738393
1,evaluar gestionar,3.463853240590168
1,evolución,2.7707060600302227
1,experiencia,3.463853240590168
1,fin,2.904237452654745
1,forma,1.959775843813894
1,formación,1.672093771362113
1,formación ciencias,2.904237452654745
1,formar,2.904237452654745
1,formativo,3.2407096892759584
1,generación,3.0583881324820035
1,generar,2.904237452654745
1,genéricas,3.0583881324820035
1,gestiona,3.463853240590168
1,gestionar,2.0169342576538423
1,gestionar proyectos,3.0583881324820035
1,gestión,1.672093771362113
1,gestión información,3.463853240590168
1,gestión proyectos,2.547562508716013
1,global,2.904237452654745
1,habilidades,2.2110902720948
1,hardware,2.7707060600302227
1,herramientas,2.142097400607849
1,herramientas tecnológicas,3.2407096892759584
1,identificar,2.904237452654745
1,idioma,2.7707060600302227
1,idioma inglés,2.7707060600302227
1,impacto,2.904237452654745
1,implementa,3.463853240590168
1,implementación,2.547562508716013
1,implementar,1.959775843813894
1,implementar operar,3.0583881324820035
1,implementar soluciones,2.904237452654745
1,industria,2.7707060600302227
1,información,1.2666286632539485
1,información comunicaciones,2.7707060600302227
1,información comunicación,2.6529230243738393
1,informática,1.4828517717235845
1,informática universidad,2.547562508716013
1,informáticas,2.3652409519220585
1,informático,3.0583881324820035
1,informáticos,1.714653385780909
1,ingeniero,1.714653385780909
1,ingeniero civil,2.6529230243738393
1,ingenieros,3.0583881324820035
1,ingeniería,1.4161603972249124
1,ingeniería software,2.285198244248522
1,inglés,2.547562508716013
1,innovación,1.8056251639866356
1,innovación tecnológica,3.0583881324820035
1,innovador,3.463853240590168
1,innovadoras,2.547562508716013
1,instituciones,3.2407096892759584
1,instituto,3.2407096892759584
1,instituto profesional,3.2407096892759584
1,integración,2.904237452654745
1,integral,2.285198244248522
1,integrar,2.547562508716013
1,inteligencia,2.2110902720948
1,inteligencia artificial,2.285198244248522
1,interdisciplinarios,2.904237452654745
1,internacionales,3.463853240590168
1,investigación,2.904237452654745
1,jefe,2.904237452654745
1,junto,2.904237452654745
1,laboral,3.0583881324820035
1,legal,3.463853240590168
1,legal vigente,3.463853240590168
1,liderando,3.463853240590168
1,liderar,2.7707060600302227
1,liderar equipos,2.904237452654745
1,liderazgo,2.285198244248522
1,malla,3.2407096892759584
1,manejo,3.0583881324820035
1,manera,2.2110902720948
1,mantención,3.2407096892759584
1,mediante,2.6529230243738393
1,medio,2.7707060600302227
1,medio ambiente,3.0583881324820035
1,mejora,3.0583881324820035
1,metodologías,2.7707060600302227
1,modelos,3.0583881324820035
1,multidisciplinarios,2.0775588794702773
1,mundo,2.4522523289116878
1,nacional,2.904237452654745
1,necesidades,2.0775588794702773
1,negocio,3.0583881324820035
1,negocios,2.6529230243738393
1,nivel,2.7707060600302227
1,normativa,3.2407096892759584
1,normativa legal,3.463853240590168
1,nuevas,2.904237452654745
1,nuevos,3.0583881324820035
1,objetivos,3.0583881324820035
1,operación,3.0583881324820035
1,operar,2.904237452654745
1,oportunidades,2.904237452654745
1,organizacional,3.2407096892759584
1,organizacionales,2.6529230243738393
1,organizaciones,1.8544153281560676
1,organización,2.3652409519220585
1,partir,3.2407096892759584
1,país,2.7707060600302227
1,pensamiento,2.904237452654745
1,pensamiento crítico,3.2407096892759584
1,perfil,2.0169342576538423
1,perfil egreso,2.3652409519220585
1,permanente,2.4522523289116878
1,permitan,2.6529230243738393
1,permite,2.142097400607849
1,personas,2.3652409519220585
1,plan,3.0583881324820035
1,planificación,3.2407096892759584
1,planificar,2.7707060600302227
1,plataformas,2.904237452654745
1,podrá,3.2407096892759584
1,posee,2.0775588794702773
1,principios,2.6529230243738393
1,privadas,3.0583881324820035
1,privado,2.904237452654745
1,problemas,1.7591051483517428
1,problemas complejos,2.7707060600302227
1,problemáticas,2.904237452654745
1,procesos,1.8544153281560676
1,productivo,3.2407096892759584
1,productos,2.3652409519220585
1,profesional,1.2666286632539485
1,profesional capaz,3.0583881324820035
1,profesional ingeniero,3.463853240590168
1,profesional integral,3.0583881324820035
1,profesionales,1.959775843813894
1,profesionales capaces,3.2407096892759584
1,profesión,3.0583881324820035
1,programa,2.3652409519220585
1,propios,2.904237452654745
1,proyectos,1.2666286632539485
1,proyectos informáticos,2.4522523289116878
1,proyectos tecnologías,3.2407096892759584
1,proyectos tecnológicos,2.904237452654745
1,prácticas,3.0583881324820035
1,puede,2.904237452654745
1,puede desempeñarse,3.2407096892759584
1,públicas,3.0583881324820035
1,públicas privadas,3.0583881324820035
1,público,3.0583881324820035
1,quehacer,2.7707060600302227
1,quehacer profesional,3.0583881324820035
1,reconoce,3.2407096892759584
1,recursos,2.4522523289116878
1,redes,2.547562508716013
1,región,3.0583881324820035
1,requerimientos,3.0583881324820035
1,resolución,3.0583881324820035
1,resolución problemas,3.2407096892759584
1,resolver,1.9057086225436182
1,resolver problemas,2.142097400607849
1,respeto,3.0583881324820035
1,responsabilidad,2.0169342576538423
1,responsabilidad social,2.285198244248522
1,responsable,2.904237452654745
1,riesgos,3.0583881324820035
1,rol,3.463853240590168
1,santiago,3.0583881324820035
1,sector,2.6529230243738393
1,sector público,3.2407096892759584
1,sede,3.463853240590168
1,seguridad,2.2110902720948
1,según,3.0583881324820035
1,sello,2.904237452654745
1,semestres,3.0583881324820035
1,sentido,2.6529230243738393
1,servicios,2.142097400607849
1,siendo,2.904237452654745
1,siendo capaz,3.0583881324820035
1,sistemas,1.3844116989103321
1,sistemas computacionales,3.0583881324820035
1,sistemas información,2.285198244248522
1,sistemas informáticos,2.3652409519220585
1,social,1.672093771362113
1,sociales,2.904237452654745
1,sociedad,2.547562508716013
1,software,1.4828517717235845
1,soluciones,1.4828517717235845
1,soluciones informáticas,2.7707060600302227
1,soluciones innovadoras,3.0583881324820035
1,soluciones tecnológicas,2.547562508716013
1,sostenible,2.547562508716013
1,superior,3.463853240590168
1,sustentable,3.0583881324820035
1,sólida,2.3652409519220585
1,sólida formación,2.4522523289116878
1,sólidos,3.0583881324820035
1,tecnología,2.6529230243738393
1,tecnologías,1.2666286632539485
1,tecnologías información,1.5179430915348546
1,tecnológica,2.285198244248522
1,tecnológicas,2.2110902720948
1,tecnológico,2.904237452654745
1,tecnológicos,2.142097400607849
1,telecomunicaciones,3.2407096892759584
1,tic,2.6529230243738393
1,toma,2.6529230243738393
1,toma decisiones,2.6529230243738393
1,trabajar,2.6529230243738393
1,trabajo,1.6312717768418579
1,trabajo equipo,2.904237452654745
1,transformación,2.4522523289116878
1,transformación digital,2.904237452654745
1,través,2.142097400607849
1,trayectoria,3.0583881324820035
1,técnicas,2.7707060600302227
1,técnico,3.463853240590168
1,técnicos,2.904237452654745
1,título,3.0583881324820035
1,título profesional,3.2407096892759584
1,universidad,1.5179430915348546
1,universidad católica,2.904237452654745
1,uso,2.3652409519220585
1,utilizando,3.0583881324820035
1,utilizando herramientas,3.463853240590168
1,valor,2.3652409519220585
1,vanguardia,3.463853240590168
1,vida,2.904237452654745
1,vigente,3.2407096892759584
1,visión,2.547562508716013
1,ámbito,2.3652409519220585
1,ámbitos,3.0583881324820035
1,área,2.547562508716013
1,áreas,2.3652409519220585
1,énfasis,3.463853240590168
1,ética,2.142097400607849
1,ético,2.6529230243738393
1,éticos,2.7707060600302227
2,000,3.4849066497880004
2,000 arancel,3.772588722239781
2,10,3.0794415416798357
2,2026,3.4849066497880004
2,25,3.4849066497880004
2,académico,3.0794415416798357
2,acuerdo,2.9252908618525773
2,además,2.386294361119891
2,admisión,3.4849066497880004
2,alto,2.9252908618525773
2,ambientes,3.2617630984737906
2,analista,3.4849066497880004
2,analizar,2.5686159179138452
2,analítica,2.9252908618525773
2,anual,3.772588722239781
2,análisis,2.791759469228055
2,aplicaciones,3.0794415416798357
2,aplicación,3.2617630984737906
2,aplicada,2.6739764335716716
2,aplicando,2.791759469228055
2,aplicar,2.47330573810952
2,aprender,3.2617630984737906
2,aprendizaje,2.47330573810952
2,arancel,3.4849066497880004
2,arancel anual,3.772588722239781
2,aranceles,3.4849066497880004
2,artificial,2.6739764335716716
2,as,3.4849066497880004
2,asimismo,3.2617630984737906
2,asociados,3.2617630984737906
2,así,2.386294361119891
2,autónoma,2.791759469228055
2,año,3.4849066497880004
2,basadas,3.0794415416798357
2,base,2.9252908618525773
2,bases,2.6739764335716716
2,bases datos,2.791759469228055
2,bien,2.791759469228055
2,bien común,2.791759469228055
2,buenas,3.4849066497880004
2,buenas prácticas,3.4849066497880004
2,básicas,2.163150809805681
2,básicas ciencias,2.791759469228055
2,calidad,2.09861228866811
2,calidad seguridad,3.2617630984737906
2,campo,2.791759469228055
2,campus,3.4849066497880004
2,capaces,2.386294361119891
2,capacidad,1.826678573184468
2,capacidades,3.4849066497880004
2,capacitado,2.5686159179138452
2,capaz,2.2321436812926323
2,carrera,1.7357067949787413
2,carrera universidad,2.6739764335716716
2,católica,3.0794415416798357
2,chile,3.0794415416798357
2,ciclo,3.2617630984737906
2,ciclo vida,3.4849066497880004
2,ciencia,2.6739764335716716
2,ciencias,1.7357067949787413
2,ciencias básicas,2.163150809805681
2,ciencias ingeniería,2.386294361119891
2,civil,2.9252908618525773
2,competencias,1.9267620317414504
2,complejos,2.386294361119891
2,compromiso,2.3062516534463544
2,computacionales,2.386294361119891
2,computación,2.386294361119891
2,computación informática,3.0794415416798357
2,comunicaciones,3.0794415416798357
2,comunicación,1.9267620317414504
2,comunicación efectiva,2.9252908618525773
2,comunicarse,3.0794415416798357
2,común,2.791759469228055
2,concepción,3.2617630984737906
2,conocimiento,2.791759469228055
2,conocimientos,1.826678573184468
2,considerando,2.791759469228055
2,constante,3.0794415416798357
2,construir,3.0794415416798357
2,consultor,3.0794415416798357
2,contexto,2.791759469228055
2,contextos,2.3062516534463544
2,continua,2.9252908618525773
2,creación,3.0794415416798357
2,cristiana,3.0794415416798357
2,criterios,3.2617630984737906
2,crítico,2.6739764335716716
2,cuenta,3.0794415416798357
2,curricular,3.4849066497880004
2,datos,1.613104472886409
2,decisiones,2.47330573810952
2,desafíos,3.0794415416798357
2,desarrolla,2.5686159179138452
2,desarrollar,1.826678573184468
2,desarrollar proyectos,3.0794415416798357
2,desarrollar soluciones,3.0794415416798357
2,desarrollo,1.538996500732687
2,desarrollo software,2.9252908618525773
2,desarrollo sostenible,3.2617630984737906
2,desempeñarse,2.386294361119891
2,desempeño,2.791759469228055
2,desenvolverse,3.0794415416798357
2,destacan,3.0794415416798357
2,digital,2.47330573810952
2,digitales,2.6739764335716716
2,disciplinar,3.0794415416798357
2,diseña,3.0794415416798357
2,diseñar,1.9808292530117262
2,diseñar desarrollar,2.9252908618525773
2,diseñar implementar,2.791759469228055
2,diseño,2.2321436812926323
2,distintas,3.2617630984737906
2,distintos,2.791759469228055
2,diversa,3.2617630984737906
2,diversas,2.9252908618525773
2,diversidad,2.791759469228055
2,diversos,2.5686159179138452
2,duración,3.2617630984737906
2,efectiva,2.5686159179138452
2,eficiencia,2.3062516534463544
2,eficientes,2.9252908618525773
2,egresado,2.47330573810952
2,egreso,2.3062516534463544
2,ejecución,3.2617630984737906
2,ejercicio,3.0794415416798357
2,ello,3.0794415416798357
2,emergentes,3.0794415416798357
2,emprendimiento,2.9252908618525773
2,empresarial,3.2617630984737906
2,empresas,2.9252908618525773
2,enfoque,2.9252908618525773
2,entorno,3.0794415416798357
2,equipo,2.9252908618525773
2,equipos,1.7357067949787413
2,equipos multidisciplinarios,2.2321436812926323
2,equipos trabajo,2.9252908618525773
2,especialidad,3.772588722239781
2,estrategias,3.4849066497880004
2,estudiantes,3.772588722239781
2,estudio,3.2617630984737906
2,estudios,3.2617630984737906
2,está,3.2617630984737906
2,está capacitado,3.2617630984737906
2,estándares,2.47330573810952
2,estándares calidad,3.0794415416798357
2,evaluación,2.791759469228055
2,evaluando,3.2617630984737906
2,evaluar,2.6739764335716716
2,evaluar gestionar,3.4849066497880004
2,evolución,2.791759469228055
2,excelencia,3.2617630984737906
2,fin,3.0794415416798357
2,forma,2.037987666851675
2,formación,1.7357067949787413
2,formación ciencias,3.2617630984737906
2,formación integral,3.2617630984737906
2,formar,2.791759469228055
2,formar profesionales,3.772588722239781
2,formativo,3.4849066497880004
2,formular,3.2617630984737906
2,fundamentos,3.0794415416798357
2,generación,3.0794415416798357
2,generar,2.791759469228055
2,generar soluciones,2.9252908618525773
2,gestiona,3.2617630984737906
2,gestionar,1.9808292530117262
2,gestionar desarrollar,3.2617630984737906
2,gestionar proyectos,2.791759469228055
2,gestión,1.9267620317414504
2,gestión informática,3.2617630984737906
2,gestión proyectos,2.9252908618525773
2,global,2.9252908618525773
2,grandes,3.2617630984737906
2,grandes volúmenes,3.2617630984737906
2,habilidades,2.47330573810952
2,hardware,3.2617630984737906
2,herramientas,2.386294361119891
2,herramientas tecnológicas,3.2617630984737906
2,humana,3.2617630984737906
2,humanos,3.0794415416798357
2,identificar,2.791759469228055
2,idioma,3.0794415416798357
2,idioma inglés,3.0794415416798357
2,impacto,3.2617630984737906
2,implementación,3.0794415416798357
2,implementar,2.2321436812926323
2,industria,2.9252908618525773
2,información,1.3448404862917296
2,información comunicaciones,3.2617630984737906
2,información comunicación,2.791759469228055
2,informática,1.5753641449035618
2,informática universidad,3.0794415416798357
2,informáticas,2.6739764335716716
2,informáticos,1.613104472886409
2,ingeniero,1.826678573184468
2,ingeniero civil,2.9252908618525773
2,ingeniero ejecución,3.2617630984737906
2,ingeniero informática,2.9252908618525773
2,ingenieros,2.9252908618525773
2,ingeniería,1.4700036292457357
2,ingeniería software,2.47330573810952
2,inglés,2.791759469228055
2,innovación,2.037987666851675
2,innovadoras,2.163150809805681
2,instituciones,3.0794415416798357
2,instituciones públicas,3.2617630984737906
2,instituto,2.9252908618525773
2,instituto profesional,3.2617630984737906
2,integra,3.2617630984737906
2,integración,3.2617630984737906
2,integral,2.5686159179138452
2,integrales,3.0794415416798357
2,integrar,2.791759469228055
2,inteligencia,2.47330573810952
2,inteligencia artificial,2.6739764335716716
