Fold,N_train,N_test,N_features,SMOTE_k,F1_macro,Accuracy,Precision_macro,Recall_macro,Balanced_accuracy,F1_Civil,F1_Ejecucion,F1_Informatica
1,46,17,400,2,0.47338935574229696,0.6470588235294118,0.4603174603174603,0.48809523809523814,0.48809523809523814,0.7058823529411765,0.0,0.7142857142857143
2,47,16,400,2,0.5253411306042884,0.5625,0.6262626262626262,0.6785714285714285,0.6785714285714285,0.631578947368421,0.5,0.4444444444444444
3,48,15,400,2,0.548076923076923,0.8,0.5297619047619048,0.5694444444444445,0.5694444444444445,0.875,0.0,0.7692307692307693
4,48,15,400,2,0.2740740740740741,0.4666666666666667,0.27777777777777773,0.3055555555555555,0.3055555555555555,0.6,0.0,0.2222222222222222
