paso,modelo,texto,n_folds,f1_macro_media_folds,f1_macro_std_folds,f1_macro_oof,accuracy_oof
05,TFIDF_completo,original,4,0.560537884744541,0.25148824397831754,0.581459063395986,0.6666666666666666
05,GWO,original,4,0.7221006955720577,0.13452913165023173,0.7111111111111111,0.7301587301587301
06,ComplementNB_SMOTE,titulos_enmascarados,4,0.4552203708743956,0.12474420906751311,0.4981481481481482,0.6190476190476191
