grado,n_perfiles,n_pares,similitud_intra_media,similitud_intra_std
Civil,32,496,0.256861277024177,0.09709867810295496
Ejecución,5,10,0.3550150239490778,0.20521183230056017
Informática,26,325,0.2327922554440674,0.10689885552612967
