grado,Civil,Ejecución,Informática
Civil,0.9999999999999998,0.6480394323451135,0.834971686625965
Ejecución,0.6480394323451135,0.9999999999999999,0.6387039727118571
Informática,0.834971686625965,0.6387039727118571,1.0000000000000004
