grado,n_perfiles,n_pares,similitud_intra_media,similitud_intra_std
Civil,31,465,0.23985684199042254,0.10518545829749656
Ejecución,5,10,0.3037796671704117,0.24473178843232563
Informática,25,300,0.23034449816466132,0.09889200981506677
