fold_externo,modelo,n_train,n_test,n_features,smote_k,F1_macro,accuracy,balanced_accuracy
1,TFIDF_completo,46,17,400,2,0.47338935574229696,0.6470588235294118,0.48809523809523814
1,GWO,46,17,287,2,0.8642533936651584,0.8235294117647058,0.8630952380952381
2,TFIDF_completo,47,16,400,2,0.5604288499025342,0.625,0.7202380952380952
2,GWO,47,16,345,2,0.5407407407407407,0.625,0.7202380952380952
3,TFIDF_completo,48,15,400,2,0.9027777777777778,0.8666666666666667,0.9027777777777778
3,GWO,48,15,260,2,0.7563131313131312,0.8,0.8472222222222222
4,TFIDF_completo,48,15,400,2,0.3055555555555555,0.5333333333333333,0.34722222222222227
4,GWO,48,15,271,2,0.7270955165692007,0.6666666666666666,0.7361111111111112
