modelo,grado,precision,recall,f1-score,support
TFIDF_completo,Civil,0.6585365853658537,0.84375,0.7397260273972602,32.0
TFIDF_completo,Ejecución,0.4,0.4,0.4,5.0
TFIDF_completo,Informática,0.7647058823529411,0.5,0.6046511627906976,26.0
GWO,Civil,0.7368421052631579,0.875,0.8,32.0
GWO,Ejecución,0.5555555555555556,1.0,0.7142857142857143,5.0
GWO,Informática,0.8125,0.5,0.6190476190476191,26.0
