fold_externo,epoch,fitness_interno
1,1,0.6615039281705948
1,2,0.6881923813296362
1,3,0.6881923813296362
1,4,0.6881923813296362
1,5,0.7040764790764791
1,6,0.7040764790764791
1,7,0.7040764790764791
1,8,0.7040764790764791
1,9,0.7040764790764791
1,10,0.7040764790764791
1,11,0.7040764790764791
1,12,0.7040764790764791
1,13,0.7040764790764791
1,14,0.7071117335823219
1,15,0.7239948504654388
1,16,0.7239948504654388
1,17,0.7239948504654388
1,18,0.7239948504654388
1,19,0.7271687462863933
1,20,0.7271687462863933
1,21,0.7338152769525319
1,22,0.7338152769525319
1,23,0.7338152769525319
1,24,0.7338152769525319
1,25,0.7536756453423119
1,26,0.7536756453423119
1,27,0.7705436720142602
1,28,0.7705436720142602
1,29,0.7705436720142602
1,30,0.7705436720142602
1,31,0.7705436720142602
1,32,0.7705436720142602
1,33,0.7705436720142602
1,34,0.7705436720142602
1,35,0.7705436720142602
1,36,0.7705436720142602
1,37,0.7705436720142602
1,38,0.7705436720142602
1,39,0.7705436720142602
1,40,0.7705436720142602
1,41,0.7705436720142602
1,42,0.7705436720142602
1,43,0.7705436720142602
1,44,0.7705436720142602
1,45,0.7705436720142602
1,46,0.7705436720142602
1,47,0.7705436720142602
1,48,0.8148428731762064
1,49,0.8148428731762064
1,50,0.8148428731762064
1,51,0.8148428731762064
1,52,0.8148428731762064
1,53,0.8148428731762064
1,54,0.8148428731762064
1,55,0.8148428731762064
1,56,0.8148428731762064
1,57,0.8148428731762064
1,58,0.8148428731762064
1,59,0.8148428731762064
1,60,0.8148428731762064
1,61,0.8148428731762064
1,62,0.8148428731762064
1,63,0.8148428731762064
1,64,0.8148428731762064
1,65,0.8148428731762064
1,66,0.8148428731762064
1,67,0.8148428731762064
1,68,0.8148428731762064
1,69,0.8148428731762064
1,70,0.8148428731762064
1,71,0.8148428731762064
1,72,0.8148428731762064
1,73,0.8148428731762064
1,74,0.8148428731762064
1,75,0.8148428731762064
1,76,0.8148428731762064
1,77,0.8148428731762064
1,78,0.8148428731762064
1,79,0.8148428731762064
1,80,0.8148428731762064
1,81,0.8148428731762064
1,82,0.8148428731762064
1,83,0.8148428731762064
1,84,0.8148428731762064
1,85,0.8148428731762064
1,86,0.8148428731762064
1,87,0.8148428731762064
1,88,0.8148428731762064
1,89,0.8148428731762064
1,90,0.8148428731762064
1,91,0.8148428731762064
1,92,0.8148428731762064
1,93,0.8148428731762064
1,94,0.8148428731762064
1,95,0.8148428731762064
1,96,0.8148428731762064
1,97,0.8148428731762064
1,98,0.8148428731762064
1,99,0.8148428731762064
1,100,0.8148428731762064
2,1,0.7094606192645408
2,2,0.7306133227701855
2,3,0.7306133227701855
2,4,0.7306133227701855
2,5,0.7306133227701855
2,6,0.7306133227701855
2,7,0.7306133227701855
2,8,0.7306133227701855
2,9,0.7306133227701855
2,10,0.7306133227701855
2,11,0.7306133227701855
2,12,0.7306133227701855
2,13,0.7306133227701855
2,14,0.7440813362381989
2,15,0.7440813362381989
2,16,0.7440813362381989
2,17,0.7440813362381989
2,18,0.7440813362381989
2,19,0.7440813362381989
2,20,0.7440813362381989
2,21,0.7440813362381989
2,22,0.7440813362381989
2,23,0.7440813362381989
2,24,0.7440813362381989
2,25,0.7440813362381989
2,26,0.7440813362381989
2,27,0.7440813362381989
2,28,0.7440813362381989
2,29,0.7440813362381989
2,30,0.7440813362381989
2,31,0.7440813362381989
2,32,0.7440813362381989
2,33,0.7440813362381989
2,34,0.7440813362381989
2,35,0.7440813362381989
2,36,0.7440813362381989
2,37,0.7440813362381989
2,38,0.7440813362381989
2,39,0.7440813362381989
2,40,0.7440813362381989
2,41,0.7440813362381989
2,42,0.7442586462194306
