Fold,N_train,N_test,N_features,SMOTE_k,F1_macro,Accuracy,Precision_macro,Recall_macro,F1_Civil,F1_Ejecucion,F1_Informatica
1,48,13,400,2,0.6444444444444445,0.6923076923076923,0.6825396825396824,0.8095238095238096,0.6,0.5,0.8333333333333334
2,49,12,400,2,0.765993265993266,0.8333333333333334,0.7777777777777777,0.8777777777777779,0.9090909090909091,0.5,0.8888888888888888
3,49,12,400,2,0.4051282051282052,0.5833333333333334,0.3904761904761904,0.4222222222222222,0.6153846153846154,0.0,0.6
4,49,12,400,2,0.7380952380952381,0.6666666666666666,0.7638888888888888,0.7444444444444445,0.7142857142857143,1.0,0.5
5,49,12,400,2,0.31746031746031744,0.5,0.35185185185185186,0.3444444444444445,0.6666666666666666,0.0,0.2857142857142857
