,precision,recall,f1-score,support
Civil,0.6875,0.7096774193548387,0.6984126984126984,31.0
Ejecución,0.375,0.6,0.46153846153846156,5.0
Informática,0.7142857142857143,0.6,0.6521739130434783,25.0
accuracy,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6557377049180327
macro avg,0.5922619047619048,0.6365591397849463,0.6040416909982127,61.0
weighted avg,0.6728629976580797,0.6557377049180327,0.6600464554848018,61.0
