fold,n_test,F1_macro,F1_macro_3clases,Accuracy,F1_Civil,F1_Ejecucion,F1_Informatica,SMOTE_k,clases_reales_test,contiene_3_clases
1,13,1.0,1.0,1.0,1.0,1.0,1.0,2,Civil/Ejecución/Informática,True
2,12,0.9373219373219372,0.9373219373219372,0.9166666666666666,0.9230769230769231,1.0,0.8888888888888888,2,Civil/Ejecución/Informática,True
3,12,0.9393939393939394,0.9393939393939394,0.9166666666666666,0.9090909090909091,1.0,0.9090909090909091,2,Civil/Ejecución/Informática,True
4,12,0.8690476190476191,0.8690476190476191,0.8333333333333334,0.8571428571428571,1.0,0.75,2,Civil/Ejecución/Informática,True
5,12,0.4603174603174603,0.4603174603174603,0.6666666666666666,0.7142857142857143,0.0,0.6666666666666666,2,Civil/Ejecución/Informática,True
